"","DIAMETER","TREAT","SITE","PLOT","REP","SPP","DBH","stem.bio","branch.bio","new.bio","tot.s.b.n","total.agb"
"149",0.857,"Subsidence","MIKE",17,3,"salix",NA,10.6480037656095,2.22009374415125,2.2215627297353,15.089660239496,15.2039927283016
"150",0.8716,"Subsidence","MIKE",17,4,"salix",NA,11.1731835953446,2.3378718192138,2.30489917287327,15.8159545874317,15.9484934449754
"151",0.9284,"Subsidence","MIKE",17,5,"salix",NA,13.375744954646,2.83608668699312,2.64498355580161,18.8568151974407,19.0683164252175
"152",0.6758,"Subsidence","MIKE",18,1,"salix",NA,5.41071536059695,1.0732320944257,1.32362218488083,7.80756963990348,7.76260339077021
"153",0.8762,"Subsidence","MIKE",18,2,"salix",NA,11.3420645018474,2.37583315919474,2.33150027761593,16.0493979386581,16.1878481334927
"154",0.6844,"Subsidence","MIKE",18,3,"salix",NA,5.6092701413244,1.11557455678153,1.36061793375219,8.08546263185813,8.04542942690369
"155",0.8552,"Subsidence","MIKE",18,4,"salix",NA,10.5843885997211,2.20585588907111,2.2114033238551,15.0016478126473,15.1137939160142
"156",1.0344,"Subsidence","MIKE",18,5,"salix",NA,18.2026706984103,3.94817909176834,3.3479683590068,25.4988181491854,25.8934796209817
"157",0.916,"Subsidence","MIKE",19,1,"salix",NA,12.8728572569555,2.72176200648848,2.56857659914053,18.1631958625845,18.356341034061
"158",1.1868,"Subsidence","MIKE",19,2,"salix",NA,26.9307740304322,6.01236396452805,4.51755471301239,37.4606927079726,38.204133915436
"159",1.508,"Subsidence","MIKE",19,3,"salix",NA,53.298707436337,12.5129037242655,7.61509478861453,73.4267059492171,75.2484786137392
"160",1.2044,"Subsidence","MIKE",19,4,"salix",NA,28.0846801440326,6.28938938439777,4.66488151197565,39.038951040406,39.8293428273779
"161",0.8936,"Subsidence","MIKE",19,5,"salix",NA,11.9958453959341,2.52317903754897,2.43361838736077,16.9526428208439,17.1142184166039
"162",1.8394,"Subsidence","MIKE",20,1,"salix",NA,93.8858132846418,22.9804810405926,11.7423349945232,128.608629319758,132.024801335921
"163",1.493,"Subsidence","MIKE",20,2,"salix",NA,51.801615690771,12.1359285143439,7.45093491635009,71.388479121465,73.1494698684802
"164",2.3974,"Subsidence","MIKE",20,3,"salix",NA,199.771385389028,51.695879815306,20.9215897209594,272.388854925293,279.439338778351
